时间,比赛名称,下注选项,当前价格,池子大小,模拟投入($),预计利润($),链接
2025-12-23, 9:29:20 p.m.,"Nets vs. 76ers","Nets",0.909,1249608.450478,100,9.10,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:29:59 p.m.,"Bucks vs. Pacers","Bucks",0.98,1178444.084934,100,2.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:30:05 p.m.,"Nets vs. 76ers","Nets",0.923,1249608.450478,100,7.70,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:30:13 p.m.,"Bucks vs. Pacers","Bucks",0.97,1178444.084934,100,3.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:31:06 p.m.,"Nets vs. 76ers","Nets",0.95,1249608.450478,100,5.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:31:30 p.m.,"Bucks vs. Pacers","Bucks",0.98,1178444.084934,100,2.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:32:00 p.m.,"Nets vs. 76ers","Nets",0.95,1249608.450478,100,5.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:32:45 p.m.,"Bucks vs. Pacers","Bucks",0.97,1178444.084934,100,3.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:33:09 p.m.,"Nets vs. 76ers","Nets",0.96,1355505.768323,100,4.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:33:53 p.m.,"Bucks vs. Pacers","Bucks",0.978,1188057.863534,100,2.20,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:34:08 p.m.,"Nets vs. 76ers","Nets",0.97,1355505.768323,100,3.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:38:40 p.m.,"Bucks vs. Pacers","Bucks",0.98,1188057.863534,100,2.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:39:08 p.m.,"Bucks vs. Pacers","Bucks",0.975,1188057.863534,100,2.50,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:40:45 p.m.,"Bucks vs. Pacers","Bucks",0.959,1188057.863534,100,4.10,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:41:01 p.m.,"Bucks vs. Pacers","Bucks",0.959,1188057.863534,100,4.10,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:41:17 p.m.,"Nets vs. 76ers","Over",0.9,79863.319575,100,10.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:42:12 p.m.,"Bucks vs. Pacers","Bucks",0.96,1188057.863534,100,4.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:43:45 p.m.,"Bucks vs. Pacers","Bucks",0.94,1188057.863534,100,6.00,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:44:32 p.m.,"Bucks vs. Pacers","Bucks",0.972,1188057.863534,100,2.80,https://polymarket.com/event/nba-mil-ind-2025-12-23
2025-12-23, 9:45:07 p.m.,"Bulls vs. Hawks","Hawks",0.92,735977.962881,100,8.00,https://polymarket.com/event/nba-chi-atl-2025-12-23
2025-12-23, 9:46:03 p.m.,"Bulls vs. Hawks","Hawks",0.92,735977.962881,100,8.00,https://polymarket.com/event/nba-chi-atl-2025-12-23
2025-12-23, 9:47:07 p.m.,"Bulls vs. Hawks","Hawks",0.93,735977.962881,100,7.00,https://polymarket.com/event/nba-chi-atl-2025-12-23
2025-12-23, 9:48:04 p.m.,"Bulls vs. Hawks","Hawks",0.91,735977.962881,100,9.00,https://polymarket.com/event/nba-chi-atl-2025-12-23
